comment,SEJ_label,PEJ_label,MRJ_label
딱 봐도 한명을 보호하기 위한 논점 흐리기 전술. 서로서로 깐부같이 전정부 큰 수혜자들이니까.,1,1,1
이건뭐 신종 홍길동인가??? 폐경을 폐경이라 부르지 못하고 혼외자를 혼외자라 부르지 못하는 나라,1,1,1
맞아요 아이가 무슨 잘못이  있어요,0,0,0
국익에 도움이 안되는 부서는 속히 구조조정을 해야하고 공무원숫자도 어느정도 조정해야한다.,0,0,1
사회적인기로 유명세를 탄 공인은 당연히 사회적 모범을 보여야 한다.유명인의 혼외자 출생은 지탄받을만하다고 보여집니다.,0,1,1
어처구니가없네 그러면 정상 혼인가정에서 태어난자식은 뭐라부름??????무슨의미인진알겠는데 자꾸 뭘 더하거나 뭘 포장하려고 좀하지마 더 혼탁하다,0,1,1
좌파리들 이제 연예인 혼외자팔이 놀이해?,1,1,1
알았어 서자라고 하자 ㅋ,0,1,1
정확한 단어인데 왠 🐕소리 혼외자 호소인이라고 해야하냐,1,1,1
혼외자에 대한 편견을 없애자는 것도 아니고 혼외자라는 개념을 없애자는건 좀 웃기지 않나요? 그럼 혼인하지 않은 남녀 사이에서 나온 아이라고 하면 될까요?,0,0,0
간통죄 없어졌으니 바람 핀자를 상간남 상간녀라 부르지 말자 뭐 이런 논리랑 같은건가? 혼외자를 혼외자라 부르지 그럼 뭐라고 부를까??,1,1,0
용어가지고 또 선동하네 그나마 사생아를 순화시켜서 혼외자라고 하는거다,0,1,1
혼외자란 표현이 딱 맞는데?,0,1,0
혼외자를 혼외자로 부르지 뭐라부르냐?,0,1,1
이재명 무죄 여론 덮을라고 이거 터트렷구만...,0,1,1
혼외자들을 편견없이 사회에서 받아들이는게 중요하지 단어만 없앤다고 편견이 없어지나?? 진짜 무슨생각으로 인터뷰하는지 모르겠다,0,1,1
역시 더듬당 인간들은 성감수성 너무떨어진다,1,1,1
ㅋㅋㅋㅋ 그럼 미혼모는 ? 그거는 왜 부르게 냅두냐?ㅋ,0,1,1
전 정권에서 우성이가 뭔 일을 했길래. 문ㅃ 열사인가,1,1,1
역시 1찍끼리는 통하네 ㅋㅋㅋㅋㅋㅋㅋㅋ 혼외자를 혼외자로 부르지 마라. 우리 맘이다,0,1,1
말만 바꾸면 본질이 바뀌나? 김희경 전차관 당신 자체가 혼외자에 대한 편견을 가지고 있는건 아니고?,0,1,1
또또 유아차니 완경이니 이상한 말 지어내려고 수 쓴다.,1,1,1
혼외자가 아니라...홍길동이요...!!!,0,0,1
낄때나 안낄때나 다 나와서 입을 놀리냐? 혼외자를 혼외자라고 하는게 우리사회 보편 일반상식인데세상 살면서 상식적으로 살거라!!,1,1,1
"쉬발뉘언님, 미쿡에서 하는것 처럼 혼자 애낳고 남자한테 돈뜯어내야 촌년처럼 안보이지?",1,1,1
미혼모도 없애고 고아도 없애고 장애인도 없애고 그냥 부정적인 단어를 다 없애면 되겠네.,0,1,1
국어 사전도 바꿀판 ….. ㅎ,0,0,0
국민의 76%가 찬성ㅋㅋㅋ 언제 그런거 했었나?,0,0,1
C 검찰총장도 혼외자 두고 불리하니까  자기 어들을 소년이라고 하더니 잘난 척 하는 좌파들은 최소한의 부끄러움을 몰라~,1,1,1
이 산 저 산 양 산의 간첩들 환호할듯ᆢ,1,1,0
욕얻어쳐먹을거 모르고 저런글 쓰는건가 ㅜㅜ 진심으로..,1,1,1
"말장난 그만해라. 세상에는 어려운 단어도 있고 뜻과 개념을 나타내는 단어가 있는거지, 무슨 우리가 원숭이냐, 우끼끼 아들 태어났다 아들 우끼끼?",1,1,1
갑쟈기?  온데 씨뿌린 놈들 코피노 애비들 욕하다가 정우성이 하니까 갑자기???,1,1,1
"그래도 혼외자가 낫지, 나는 정우성이 먹고 버린 여자의 먹버자요 라고 하면 그 아이는 뭐가 되냐?",1,1,1
아버지를 아버지라 부르지 못한 홍길동이. 생각나네~~,0,0,0
나서서  편들어주는   아줌씨들  ㄱㅔ딸것들,1,1,1
혼외자고 아들이고 간에 더도말고 저사람의 행실이 평소 어때했는지 그런부분하고 지금의 행태가 어떠했는지를 비교해보라!,0,1,1
네이버 국어사전 혼외자 : 결혼하지 않은 남녀 사이에서 낳은 자식.,0,0,1
지달하지말고  효도해라.,0,0,0
한자를 모르나? 婚外子,0,1,1
혼인외에 생긴 자녀ㅡ 혼외자맞는데?  제발 엉뚱한 얘기해서 부끄럽게 하지마라.어휴,1,1,1
여가부가  왜필요한거냐?? 이런일 하려고??   세금이  아깝다!!,1,1,1
ㄹㅇ 아이는 죄가 없지...,0,0,0
그렇다면 정량리588 천호동택사스 신길동  인천옐로하우스.대구자갈마.부산완월동은 왜 없애냐?,0,1,0
다 뛰어나와 좌파끼리 감싸기하십니까.왜 국어사전을 통째로 바꾸라고 하세요.몰 잘했다고 시상식에 나와서 개인사떠들고 박수치는 인간들이나 급이 똑같네.,1,1,1
정우성이라고 졸라~ 빨아준다.,1,1,1
윤건희 국정농단(명태균 게이트)이 온통 뉴스를 도배하는 와중에... 어른의 품격있는 제안이다.,0,0,1
아들은 맞다!  그런데 결혼은 안 했으니 한국식으로는 찝찝하다 이거고!   거부감 없는 정식 명칭을 만들어 봐라!,0,1,0
"여성부가 '혼외자' 용어 듣기 싫다고, '결혼' 용어 없에자고 하는 줄 알았네요~~^^",1,1,0
저런게 여가부 차관이었다니 여가부 폐지 사유하나 추가네~~~단어 뜻도 모르는게 차관이니 사회가 이모양이지,1,1,1
민주당 ㅋㅋㅋㅋ 여가부만 폐지해도  2조원 예산이 절약됨~,1,1,1
결혼은 하기싫고 아이는 갖고싶은 사유리들에게도 한말씀해주시죠!,0,0,1
공산당은 처녀를 임신시키고 결혼안하고 양육 안해도 박수받는다^^,1,1,1
증오조장 댓글들 정말. 답이없다,0,1,1
그러면 혼외저란말 왜만들음?  사람따져서 혼외자란말 쓰고안씀??,0,1,1
맞는말이구먼 혼외자란뜻을  알고나 댓글을쓰는지원,0,1,1
태어난 아이는 죄가 없지.......그 아이가 부모를 선택한것도 아닌데 꼬리표처럼 낙인 찍히는건 너무 가혹하죠.....,0,0,1
"아이고,  윤석렬이나 한동운 혼외자 있었다면,  지금처럼 말할 생각이나했겠나..저거뜰은  머리가..도대체..",1,1,1
이런거보다 불쌍한 정말 장애인분들이나 불쌍한 어르신분들  가난에 허덕이는 불쌍한 가정들 을 위한 인권을 조금이라도 챙기는 언론이 되기를 바래봅니다.,0,0,1
참 애쓴다. 어떻게든 우리편은 감싸주자.  부끄럼 잊은지 오랜 족속들이긴하지만,1,1,1
그럼 뭐라고 불러야하나  비정상이 정상처럼 되어가는 사회  ..,0,0,1
당신이 듣기 거북하면 우리가 그거 다 쓰지 말아야 하나?,0,1,0
혼외자를 혼외자로 부르지 못하고~~~^^우성이가 아무리 좋아도 그건 아니지~~^^,0,1,1
난민이라고 불러야 하나 지 애비가 원하던대로 ㅋㅋ 중졸 정우성 사생아 난민,1,1,1
미친.  어이없어서 욕도 안나오네,1,1,0
그럼 혼외자가 아니면 뭔데? 사생아로 불러줘?,0,1,1
걍 그놈이 난봉꾼이란거지 물타기하노,1,1,1
뭔소리하노??혼외자 뜻 모르나??세종대왕이냐??곧 한글 창제 하것다.죄앙이쪽은 참...,1,1,1
혼외자를혼외자라부르는데?,0,0,1
아들 좋아요 그러면 남편 정우성 아닌가?,0,0,0
혼외자는 혼외자다 이 무식한 아줌마야,1,1,1
결혼해서 아이낳고 책임을 다하는 부모들 열받게 하는 소리 그만해라,1,1,1
혼외자를 혼외자라 부르지 못하고... 무슨 홍길동 이냐고~,1,1,1
너그나라에서는 그렇게 허소 우라나라는 그냥 법대로 허랑게,0,1,0
뭐라는거야? 주장하는게 한국 페미들같네. 부모님 말고 모부님이라 부르자고 하는건가?,1,1,1
강간도 성폭력으로 불러야 하는 세상이니... 그런다고 행위가 달라지는것 아니지만...느낌이 다른가?,0,1,1
좌파의 특기 잘난체 선민의식 쩌네요,1,1,1
혼외자를 혼외자라고 하지 머라하냐? 제정신 아니네,1,1,1
"편견조장한다고 안하는데 왜 저출생, 완경 이런건 왜 방송에서도 언급하나요?",0,0,0
저출산도 저출생이라고 하고 혼외자도 다른 명칭으로 부르자 하고 그럼 뭐하러 현재 쓰는 말들 다 쓰냐? 다 바꾸지?,0,1,0
태어난 아이의 입장에서 생각해보자는 뜻이죠ㆍ그럼 이혼한 부모의 자식은 이혼자라 불려야 합니까,0,0,0
"차관이면  엘리트 공무원인디  저런 사상으로 일했단  말,,,,  그러니  fm 왕국이 되지",1,1,1
"여가부 차관이 할일 더럽게 없구나,,장관은 잼버리 엉망 만들어 국제망신 당하고...여가부 페지가 답이다..얼릉....",1,1,1
재직중에 이런소리하고 법개정이라도하지 이제와서 무슨헛소리~~~,1,1,1
여기 저기 서자  싸질러 놓은 이조시대 탐관오리들 편드냐?,1,1,1
남편이 사망하고 죽지 않고 살아 있는 여성은 미망인이라고 부르고 있는 것과 마찬가지입니다.,0,0,1
"정우성, 대리모 불법을 편법으로,,,대리모 개척자...",1,1,1
혼외자를 혼외자라 하지 뭐라함?,0,1,1
"혼외자=사생아, 이게 정확한 표현,,,,",0,1,1
혼인을 하지안고 출생한 아이는 사생아라고하는데 듣기가 거북하여 혼외자라고 한것을 차관까지한 사람이 법조문을 부정하는것인가,0,1,0
왠만함 자기 애 있다고 함 별로 맘 없어도 결혼 할라 할껀데 이렇게까지 안하는게 사실혼 상태의 여자가 있었구만.,0,1,1
제발 말장난 하지 마라.,1,0,0
이념팔이로 가정파괴하는 좌파놈들의 정부에는 폐미들이 같이하고 있구나..,1,1,1
그래도 많이좋아 졌는데 예전 같으면 서출이라 하였는데,0,0,1
먹고 살기 힘드니까 출생률이 떨어지는 것이지 프랑스처럼 결혼하지 않고 동거하는 행태에 대한 부정적인 인식 때문에 출생률이 떨어지는 것은 결코 아니다~,0,0,0
한국여자가 남자들 도축하던거 파훼법 나오니깐. 여기저기서 아주 난리가 나넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ 개꿀죔,1,1,1
더러운 말장난은 민주당과 좌파의 특기지. 토나오는 족속들,1,1,1
상식이하의 행동을 하지말자! 도덕을 지키거라!!!,0,0,0
그럼 사생아라고 불러야겠네요ㅠㅠ,0,1,1
관습법에 의한 단어에도 쉐도우 복싱하는 여가부,1,1,1
입 처닫아 재앙이 앞잡이인ㆍ,1,1,1
혼외자가 맞는데?? 정우성이 뭔데?? 나이 쳐먹어도 철없는 그냥 대한민국 남자중 한명일뿐~~ 뭐 대단하신 분인가?? 기사 나는게 정말 웃끼다,1,1,1
개딸들 습성? 내새끼만 아니면 물어뜯는다,1,1,1
정우성이 잘한짓 한거냐,0,0,1
나경원 의원이 제안한 혼외자 지원법에 해서나 논의하세요. 뜬구름 잡는 얘기로 어그로 끌지 말고. 이번에도 여가부가 여가부 했네요.,1,1,1
그럼 알아서 아드님 도련님 해드리세요,0,1,1
태어난 아이 입장에서 쓴 글 같은데 맞기도 하고 받아드리기 어려운것도 있네,0,0,0
"""여가부는 중심에 여성를 두고 바라보는 시각이고, 아무런 책임도 없는 남성에게 부정적 낙인을 찍는 용어"" 그래서 여가부는 해체를 해야한다.",1,1,1
왜케 개소리를 길게도 썼나 봤더니 전직 여가부 차관이었네 ..그럼 그렇지 에휴,1,1,1
"딴건 모르겠고 ""바람""이라 부르고 싶다.",0,0,1
혼외자가 말 그대로 결혼 안하고 낳은 자식이란 뜻인데 있는 단어를 왜 쓰지 말라카노,0,0,0
"티비에서 변호사  가 한말 입니다  .
혼외자라고 .

결혼안하고 낳은 아이를 뭐라불러야 합니까?",0,0,1
고위 공무원을 지낸 깨시민 등장이요.,0,0,0
"뭐 어쩌자고, 그럼!!.  한국어를 새로 창조해서 나가 살어, 아예!. ㅃㄱㅇ도 금지어고, 左빨 도 금지어고,  혼외자도 금지어고... 된장!.",1,1,1
그럼 예전처럼 사생아라 부르자.,0,1,1
인 간말 종들 좌파 더듬어범죄공동체 만행집단 씨 를 말리고싶은 심정일겁니다 국민들은,1,1,1
피해호소인...예전그사건 기억나네...,0,0,1
다 좋다. 근데 어떻게 혼자 자식기르게된 문가비 걱정들은 그렇게 안하냐,0,1,1
윤석열 대통령은 여가부 해체 . 대선공약 이행하라!!!,0,0,1
인문학감성갖고 제멋대로 언어에 감정을 입힐려고하는행위 이건 테러다!!!! 월봉위즈덤,0,1,1
그저 아이가 불쌍할뿐…왜 책임없는 행동으로 한 생명이 평생을 고통받아야 할것인가,0,0,1
니네 슨생 성씨는 정확히 뭐냐? 제갈? 김?,1,1,1
"정우성이 한테 국민 세금으로 돈주는 것도 아니고, 무슨 뉴스 거리나 되냐. 그런갑다 하면 된다.",1,1,1
"맞다. 부르면 안돤다. 연예인이 무슨 신부냐,스님이냐. 연예인보고 무슨 공인 공인 하지 마라. 그냥 연예인이다.세금으로 월급주냐.",1,1,1
홍길동이라 부르냐?? 그럼..ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0,0,1
"혼외자는 그저 현 상태를 한자어로 함축 표현한 거. 좋고 나쁨. 맞고 틀림. 이런 가치평가를 담고 있는 않은데, 어떻게 그 말이 부정적이지?",0,0,1
이래서 좌파는 깊게 파묻어야 될 종족이라는거야,1,1,1
둘이 몰래 히다가 큰실수로 할수 없이 난 혼외자지 그럼 정상적으로 낳은 애냐?,0,1,1
여가부 폐지 안하나?  윤통,1,1,1
뭐 저런 멍청한 글이 다 있지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1,1
그럼 무슨말을 하노???미혼모의 자식???미친~~~,1,1,1
민쭈당 애덜 사고방식? ㅋㅋㅋ,1,1,1
멍청한 PC주의네 홍길동을 홍길동이라고 부르지못한다고?,1,1,1
난민 위하는척 하더니 자기 애는 난민으로 만드네?,1,1,1
"그래…이참에 법들자.혼외자 사용금지법.
일명 “정우성 법”",0,1,1
저런게 차관을 했다니 아무리 앉아서 오줌누는 계집이라한들 저토록 천박할까. 노무현이때 것들,1,1,1
여자들아... 댓글에 반대라도 눌러라. 이 나라 여자들은.... 다 디졌냐?,1,1,1
FM은 성별과 나이와 사회적지위의 고하를 막론하고 정신병입니다. 성소수자와 같이 아픈 병자들일뿐입니다.,1,1,1
지금 당신이 말하는순간 편견이된..... 혼내자 하든가...,0,1,0
윤석열. 각하 사랑하고.. 존경합니.다,0,0,1
애들은 다 똑같은 애들이지. 핵공감함,0,0,1
그럼 '사생아' 로 해야겠다.,0,1,1
혼외자란 말을 서슴 없이 쓰는게 아니라. 이런 상황에 부르라고 붙혀진 이름 아닌가요?? 왜 혼자 정의롭단 형식의 글을 쓰시는지 몰겠습니다.,0,0,1
ㅎㅎㅎ 별걸 다 민주당에 갖다 불이는구나.,1,1,1
그러니 비혼출산이니 혼외자 출산이니 그런 출산이 없으면 된다! 뭔 말이 이렇게 많아~ ㅉㅉ,0,1,1
공감합니다  그런 경우를 혼외자라고 부르면 결혼한. 부모 밑에서. 때여난 아들도 그냥 아들이라 부르지말고 혼중자. 라고 부르자,0,1,1
애 불쌍하다고 정우성 욕하면서 그애는 죽어도 혼외자라 불러재끼고 싶은 정병 2찍이 국짐당 경상도 극우× 매국인들.,1,1,1
근데 정우성이 법을 어겼나요???? 다들 왜 난리?,0,0,0
언론에서 혼외자라 부르니까 그런거지.언론부터 교육이 필요하다. 증말,0,1,1
야이 똥멍청이들아. 정우성이 잘못했지 애가 뭔죄냐 죄없는 아이 낙인찍지 말자는데 난독증이 왤케 많냐,1,1,1
얘네는 댓글모음 있는 것도 모르나... 17%는 제발 어디 무인도 가서 지들끼리 혐오하고 살았으면 좋겠다. 애가 무슨 잘못이냐.,1,1,1
시의적으로 맞는 말을 한건데도 텍스트를 텍스트로만 받는 1차원적 머리로는 이해 못하지,0,0,1
치킨게임이 아니라 국민 혈세가 허튼데에 쓰이고 있는걸 막은거다. 당당하면 사용 내역 공개하라니깐?,0,0,1
760억원 특활비 삭감 ·지역화폐 2조 증액 : 이게 뭐가 문제됨?,0,0,1
국회의원 특활비는 그대로 라면서?,0,0,0
아니 예산 없다면서 삭감해도 난리네 ㅋㅋㅋ,0,1,0
기회여러번 줫는데 내역 제출 안해서 삭감된건데 뭐가 억울해국민 생각하는척,0,0,1
연합뉴스야   똑바로 보도해라 ~~ 국민세금으로  딴짓하는거   삭감한거다  ~~나라 살림을 볼모로 잡은건  국민의  짐과   용와대와    검찰이다,1,1,1
용돈으로 쓰는 특활비 삭감👏👏환영!! 용와대의 증빙도 없는 예비비 증액해온거 삭감도 굿!! 거니 쇼핑 여행에 쓰인다,0,1,1
"대통령실 예산삭감, 검찰청 특활비외 예산삭감 이런것들은 바남직한거 아닌가요?",0,0,1
그니까 지금 정부여당이 으앙 특활비 내놔~~ 안주면 니네 지역화폐도 안해줄거야~~ 하고있는 상황인거?,0,1,1
기자야 특활비 삭감 이 벼랑끝 꺼리냐 에혀 언론이 나라를 망치고 있다,1,1,1
국개의원 특활비 없애라.  특히 길바닥에서 데모질만하고 노는 민주당 놈들도 꼭 없애라.,1,1,1
왜 민주당이 다수당이 되었을가? 아직도 반성 못하는 국힘에 머리가 어질 어질하다.. 하긴 무당2기 만들었으니 말 다했지.,1,1,1
특활비 등등 받고싶으면 특활비 사용 내역을 제출해야지 아무것도 제출 안하고 주십쇼 ? 국민들을 호구로 아나..,1,1,1
국회의원 월급 좀 제발  깎자. 심지어 임기가 끝나도 매달 몇백씩 죽을때까지 받는다. 이게 말이 되나?,1,0,1
"감사원, 검찰, 경찰 모두 감액했다고....? 막장으로 가는구나",1,1,1
뭐가 문제임. 나라 재정이 부족해서 절약해준다는데.,0,0,1
민주당 애덜 이죄명이 방탄하려고 나라예산까지 농단질이네 국민들 다 죽이고 나라 망하게 하려고 작정한  모양이야 이정도면 그냥 반정부 세력이라고 봐야지,1,1,1
니네들끼리 나눠 쓰라고.. 세금으로 주는 몇백억 특활비  이제야 알았네..그것도 전체 영수증의 5% 라니...,1,1,1
민주당 이거 하나는 잘하네. 건희 해외여행 못 시켜주니 대통령이 극노했나보네 . 니 돈으로 가,1,1,1
사용내역공개못하면 김면해야맞는것 지역화폐는 국민들 살리는길~~하도 윤정부가비정상이니 대책불가입니다 세금그만 축내고 윤부부는 공정한심판받으서라,1,1,1
국회의원 세비도 없애라 일도 않하고 정쟁만 일삼는데,1,1,1
오직 세금으로 전국민 25만원씩 총 1조2000억을 뿌리자고 난리피우는 더듬어민폐당 국개들이 나라 살림을 걱정한다고???,1,1,1
국회의원 월급 반액 찬성,0,0,1
내 혈세로 잘들 노네 세금 내기 너무 싫다,1,1,1
아... 진짜 대한민국이 총기 규제 국가라는 걸 여.야 국회의원 니들은 다행이라 생각해라. 그랬다면 너희들 벌써 다 이승 떠났다.,0,1,1
전문가라는 놈들이 국민세금 허투로 쓰는건 왜 말을 안하냐 ㅉㅉ 우리는 괜찮으니 더 주리를 틀어서 지들 맘대로 못하게 해라,1,1,1
"국민세금으로 운영하는데 영수증도 첨부못하는게 예산이냐?  특활비가 아니고 룸싸롱비라고 적어야지
ㅋㅋㅋ",0,1,1
윤석렬과 검찰정부가 잘했다면 국민은 지금 민주당만 욕하고 있을거임 하지만 못해도 나무 못하고 불공정하기까지 하니까 민주당 손들어주는거야,0,1,1
쪽수많다고  걸핏하면 탄핵이니 뮈니 하더니  이젠 예산삭감까지.  다음번엔 우두두 떨어져라.,1,1,1
아니 지금 소상공인 다죽는다는데 지역화폐 2조 푸는게 뭐가 어때서 난리엠병부르스여? 떡검놈들 떡값주는거보다 훨씬 좋은데 쓰는거같은데?,1,1,1
영수증 증빙 못하는 검찰.감사원.용산것들 특활비가 언제부터 민생이냐?건전재정하게 민주당에서 처리해주는데 고마워해라,0,1,1
증빙 없는 예산사용은 삭감도 삭감이지만 사용한놈 찾아내서 모조리 징계내려야 할 사항이다. 검찰 놈들 감사청구해서 제대로 조사해야한다.,1,1,1
"좌파리 민주당아. 청와대, 검찰, 경찰 특활비는전액 삭감하면서 국회 특활비는 왜 삭감 안했냐.  지나가는 개도 웃겠다.",1,1,1
나라를 개 난장판으로 몰고가는 쩌어쪽나라가 점령하고있는 국개를 강제로 해산시켜라.,1,1,1
성매매 매춘 줄리가 공천한 국개... 매춘의 힘...ㅉㅉㅉ,1,1,1
국민 여러분 보수 진보 할 거 없이 국개의원을 다 조지면 대한민국 정상화 됩니다,1,1,1
ㅋㅋㅋ 나라 살림이란다  지들 룸사롱가고 안마시술소가고 죄없는 사람 괴롭히는데 쓰이는 예산이겠지,1,1,1
"특활비와 특경비에 목숨거는 여당.국민을 위해서가 아닌 자기들만의 
정치에 올인하는 여당 OUT",1,1,1
667조 정부안에서 겨우 4조 0.7% 그것도 술먹고 밥먹는 예산과 예비비 깍았는데 나라운영 어렵다??  당초 정부안에서 민생에산 잘 반영되었을거고~~,0,0,1
니네 월급이나 없애라 그게 진짜 정상화다,1,1,1
나라 살림(×) 대통령과 검사들의 쌈짓돈(ㅇ),0,1,1
정신못차린 국힘 삭감더 해주세요,1,1,1
다른거 다 삭감 시키고 지방 다 초토화 시키면서 특활비는 왜 안되?,0,1,1
특활비 해외여행비 전액삭감 대찬성,0,0,1
지출내역없는 예산 삭감하는건데 모가 문제인데?니들 밥처먹고 술처먹는거 세금으로 못하게 하는건데그게 잘못된거냐?,1,1,1
내역공개하라구요~~장난질하지마시구요~~,0,1,1
국회의원  입법특활비 등 없애라명절휴가비 없애라,0,1,1
민주당 적극 지지함 아무것도 모르고 아무것도 못하는 인간은 그만 알아서 내려와라,1,1,1
윤석열 도대체 뭐하는 인간이야??.대통령 권한을 가지고  몇년째 허솔세월..실업자대통령.,1,1,1
